match_id,team1,team2,toss_winner,toss_decision,venue,match_winner,team1_win,team1_strength,team2_strength,strength_diff
1254069,129,134,134,field,"Wankhede Stadium, Mumbai",129,1,0.5674603174603174,0.5063829787234042,0.061077338736913234
1254070,3,252,3,bat,"MA Chidambaram Stadium, Chepauk, Chennai",252,0,0.5523465703971119,0.45692883895131087,0.09541773144580101
1254071,494,2,494,bat,"MA Chidambaram Stadium, Chepauk, Chennai",2,0,0.4659090909090909,0.46494464944649444,0.0009644414625964437
1254072,129,6,6,field,"Wankhede Stadium, Mumbai",129,1,0.5674603174603174,0.5151515151515151,0.052308802308802305
1254073,134,1,1,field,"Wankhede Stadium, Mumbai",1,0,0.5063829787234042,0.4925925925925926,0.013790386130811627
1254074,3,494,494,field,"MA Chidambaram Stadium, Chepauk, Chennai",494,0,0.5523465703971119,0.4659090909090909,0.086437479488021
1254075,6,134,134,field,"Wankhede Stadium, Mumbai",134,0,0.5151515151515151,0.5063829787234042,0.008768536428110929
1254076,129,1,129,bat,"Wankhede Stadium, Mumbai",129,1,0.5674603174603174,0.4925925925925926,0.07486772486772486
1254077,252,2,252,bat,"MA Chidambaram Stadium, Chepauk, Chennai",2,0,0.45692883895131087,0.46494464944649444,-0.008015810495183573
1254078,494,6,6,field,"Narendra Modi Stadium, Ahmedabad",6,0,0.4659090909090909,0.5151515151515151,-0.049242424242424254
1254079,1,252,252,field,"Narendra Modi Stadium, Ahmedabad",1,1,0.4925925925925926,0.45692883895131087,0.035663753641281715
1254080,2,129,2,bat,"Arun Jaitley Stadium, Delhi",129,0,0.46494464944649444,0.5674603174603174,-0.102515668013823
1254081,134,3,3,field,"Arun Jaitley Stadium, Delhi",3,0,0.5063829787234042,0.5523465703971119,-0.04596359167370767
1254082,6,252,252,field,"Narendra Modi Stadium, Ahmedabad",252,0,0.5151515151515151,0.45692883895131087,0.05822267620020427
1254083,494,1,1,field,"Narendra Modi Stadium, Ahmedabad",494,1,0.4659090909090909,0.4925925925925926,-0.026683501683501698
1254084,129,3,3,field,"Arun Jaitley Stadium, Delhi",3,0,0.5674603174603174,0.5523465703971119,0.015113747063205563
1254085,134,2,2,field,"Arun Jaitley Stadium, Delhi",134,1,0.5063829787234042,0.46494464944649444,0.04143832927690977
1254086,494,252,252,field,"Narendra Modi Stadium, Ahmedabad",252,0,0.4659090909090909,0.45692883895131087,0.008980251957780017
1254087,1,6,1,bat,"Zayed Cricket Stadium, Abu Dhabi",6,0,0.4925925925925926,0.5151515151515151,-0.022558922558922556
1254088,3,2,3,bat,"Zayed Cricket Stadium, Abu Dhabi",3,1,0.5523465703971119,0.46494464944649444,0.08740192095061744
1254089,129,134,134,field,"Zayed Cricket Stadium, Abu Dhabi",134,0,0.5674603174603174,0.5063829787234042,0.061077338736913234
1254090,1,494,1,bat,Sharjah Cricket Stadium,1,1,0.4925925925925926,0.4659090909090909,0.026683501683501698
1254091,2,129,129,field,Sharjah Cricket Stadium,129,0,0.46494464944649444,0.5674603174603174,-0.102515668013823
1254092,252,6,6,field,Sharjah Cricket Stadium,6,0,0.45692883895131087,0.5151515151515151,-0.05822267620020427
